Id,Ruolo,RuoloMantra,Giocatore,Squadra,PrezzoAttuale,PrezzoIniziale,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M
7157,C,C,Iannoni,Sassuolo,5,1,4,5,1,4,8,8
5540,C,M;C,Niasse,Verona,5,3,2,5,3,2,10,13
6218,C,W;T;A,Oristanio,Parma,5,12,-7,5,12,-7,12,15
4479,C,W;T,Elmas,Napoli,5,11,-6,5,11,-6,22,24
5685,C,C;T,Koopmeiners,Juventus,4,14,-10,4,14,-10,14,14
5457,C,M;C,Maleh,Lecce,4,6,-2,4,7,-3,6,8
5319,C,C,Sohm,Bologna,4,12,-8,4,12,-8,9,9
7149,C,M;C,Marin M.,Pisa,4,6,-2,4,6,-2,11,14
6271,C,M;C,El Aynaoui,Roma,4,9,-5,4,9,-5,13,16
6246,C,M;C,Lipani,Sassuolo,4,4,0,4,4,0,8,11
4890,C,M;C,Tameze,Torino,4,5,-1,4,5,-1,9,12
6170,C,C,Gineitis,Torino,4,5,-1,4,5,-1,11,11
4896,C,T;A,Maldini,Lazio,3,9,-6,3,8,-5,12,12
4284,C,M;C,Sergi Roberto,Como,3,4,-1,3,4,-1,10,10
2848,C,C;T,Frattesi,Inter,3,14,-11,3,14,-11,10,10
6191,C,M;C,Belahyane,Lazio,3,4,-1,3,4,-1,7,10
4459,C,M;C,Rovella,Lazio,3,8,-5,3,9,-6,12,15
6629,C,C;T,Dele-Bashiru,Lazio,3,11,-8,3,11,-8,11,11
6410,C,M;C,Kaba,Lecce,3,1,2,3,1,2,12,15
6634,C,W,Tete Morente,Lecce,3,9,-6,3,8,-5,12,10
5007,C,C,Ilic,Torino,3,7,-4,3,7,-4,8,8
5850,C,C,Lovric,Udinese,3,9,-6,3,9,-6,8,8
5688,C,W;T,Harroui,Verona,3,7,-4,3,7,-4,10,12
7203,C,C,Jashari,Milan,3,13,-10,3,13,-10,11,11
7208,C,M;C,Miller L.,Udinese,3,3,0,3,4,-1,10,12
6677,C,C;T,Adzic,Juventus,3,1,2,3,1,2,1,1
7010,C,M;C,Al-Musrati,Verona,3,4,-1,3,5,-2,7,8
4349,C,M;C,Nicolussi Caviglia,Fiorentina,3,9,-6,3,10,-7,10,13
6024,C,M;C,Sulemana I.,Cagliari,2,4,-2,2,4,-2,10,11
7132,C,M;C,Collocolo,Cremonese,2,8,-6,2,9,-7,13,16
6010,C,C;T,Fazzini,Fiorentina,2,11,-9,2,11,-9,8,8
5788,C,T,Sabiri,Fiorentina,2,2,0,2,2,0,4,4
6722,C,W;T,Gronbaek,Genoa,2,12,-10,2,12,-10,4,4
5719,C,M;C,Asllani,Torino,2,4,-2,2,4,-2,14,19
5872,C,C;T,Helgason,Lecce,2,8,-6,2,8,-6,7,7
7138,C,M;C,Ordonez C.,Parma,2,5,-3,2,6,-4,10,13
7150,C,C,Vural,Pisa,2,3,-1,2,3,-1,6,6
6219,C,M;C,Boloca,Sassuolo,2,6,-4,2,6,-4,4,6
6889,C,C;T,Anjorin,Torino,2,10,-8,2,10,-8,10,10
6212,C,M;C,Zarraga,Udinese,2,2,0,2,2,0,6,7
6005,C,C;T,Ilkhan,Torino,2,1,1,2,1,1,10,10
7223,C,W;T,Vergara,Napoli,2,1,1,2,1,1,5,5
6274,C,C,Diouf,Inter,2,7,-5,2,7,-5,10,10
5610,C,M;C,Vranckx,Sassuolo,2,4,-2,2,5,-3,10,13
7248,C,M;C,Gorter,Lecce,2,1,1,2,1,1,1,1
6538,C,M;C,Onana J.,Genoa,2,2,0,2,2,0,4,4
4677,C,W,Cornet,Genoa,2,7,-5,2,7,-5,5,5
5286,C,M;C,Akpa Akpro,Verona,2,1,1,2,1,1,6,8
7165,C,M;C,Liteta,Cagliari,1,1,0,1,1,0,6,8
6980,C,W,Venturino,Roma,1,3,-2,1,3,-2,11,11
6633,C,M;C,Pierret,Lecce,1,6,-5,1,7,-6,9,11
6645,C,T,Marchwinski,Lecce,1,1,0,1,1,0,2,2
7147,C,M;C,Hojholt,Pisa,1,1,0,1,1,0,2,2
2117,C,C;T,Kastanos,Verona,1,4,-3,1,4,-3,8,8
6486,C,W;T,Suslov,Verona,1,9,-8,1,9,-8,14,14
7025,C,W;T,Cuenca H.,Genoa,1,1,0,1,1,0,1,1
7246,C,C,Sala A.,Lecce,1,3,-2,1,3,-2,9,9
5561,C,W;T,Stengs,Pisa,1,11,-10,1,11,-10,13,13
7276,C,C,Cremaschi,Parma,1,5,-4,1,5,-4,8,8
7319,C,M;C,Fofana Sa.,Lecce,1,1,0,1,1,0,2,2
7322,C,M;C,Ngom,Lecce,1,1,0,1,1,0,1,1
2764,A,Pc,Martinez L.,Inter,35,34,1,35,34,1,365,365
6434,A,A,Yildiz,Juventus,31,24,7,31,25,6,240,240
4871,A,Pc,Thuram,Inter,30,29,1,30,29,1,232,232
4510,A,A,Leao,Milan,29,24,5,29,24,5,190,190
5734,A,A,Soulè,Roma,25,20,5,25,21,4,182,182
5637,A,Pc,Davis K.,Udinese,25,12,13,25,11,14,87,84
6052,A,Pc,Hojlund,Napoli,25,24,1,25,24,1,185,185
7017,A,Pc,Douvikas,Como,24,8,16,24,7,17,73,70
2137,A,Pc,Scamacca,Atalanta,23,19,4,23,19,4,107,107
6572,A,Pc,Castro S.,Bologna,23,19,4,23,19,4,67,67
6435,A,Pc,Krstovic,Atalanta,22,20,2,22,20,2,42,39
531,A,A,Berardi,Sassuolo,22,21,1,22,21,1,85,85
6552,A,Pc,Orban G.,Verona,22,15,7,22,15,7,40,37
505,A,A,Bonazzoli,Cremonese,20,1,19,20,1,19,24,24
7023,A,Pc,Pellegrino M.,Parma,20,13,7,20,12,8,82,79
7071,A,Pc,Esposito F.P.,Inter,19,7,12,19,7,12,38,35
2061,A,Pc,Simeone,Torino,19,8,11,18,7,11,64,64
6060,A,A,Laurientè,Sassuolo,19,15,4,19,15,4,37,37
2499,A,Pc,Vardy,Cremonese,19,15,4,19,15,4,55,52
5455,A,A,Moreo,Pisa,18,5,13,18,5,13,14,14
5995,A,A,De Ketelaere,Atalanta,17,22,-5,18,23,-5,88,88
4436,A,A,Cambiaghi,Bologna,17,11,6,17,11,6,30,30
2097,A,Pc,Kean,Fiorentina,17,33,-16,17,33,-16,137,137
4463,A,A,Esposito Se.,Cagliari,17,7,10,17,7,10,52,52
4728,A,A,Nkunku,Milan,17,20,-3,17,20,-3,27,27
6669,A,Pc,Bonny,Inter,16,5,11,16,5,11,28,25
4371,A,A,Raspadori,Atalanta,16,13,3,16,13,3,64,64
6365,A,Pc,Ferguson E.,Roma,16,19,-3,16,19,-3,29,26
6646,A,A,Adams C.,Torino,16,14,2,16,14,2,31,31
7162,A,A,Giovane,Napoli,16,1,15,16,1,15,23,23
2531,A,Pc,Lukaku,Napoli,15,31,-16,15,31,-16,62,59
7316,A,Pc,Durosinmi,Pisa,15,15,0,15,15,0,49,46
5585,A,A,Malen,Roma,15,14,1,15,14,1,66,66
4730,A,A,Lookman,Atalanta,14,29,-15,15,30,-15,81,81
4923,A,Pc,Colombo,Genoa,14,12,2,14,11,3,45,42
2841,A,Pc,Vlahovic,Juventus,14,24,-10,14,24,-10,50,47
5500,A,W;A,Cancellieri,Lazio,14,3,11,14,3,11,22,19
6675,A,Pc,Dovbyk,Roma,14,21,-7,14,21,-7,12,10
2038,A,Pc,Pinamonti,Sassuolo,14,16,-2,14,16,-2,50,47
7199,A,A,Kilicsoy,Cagliari,14,6,8,14,6,8,26,26
2678,A,Pc,Fullkrug,Milan,14,13,1,14,13,1,30,27
7313,A,Pc,Ratkov,Lazio,14,15,-1,14,15,-1,52,49
6243,A,Pc,Borrelli,Cagliari,13,5,8,13,4,9,13,10
5544,A,Pc,David,Juventus,13,27,-14,13,27,-14,61,58
309,A,A,Dybala,Roma,13,26,-13,13,27,-14,71,71
7129,A,W;A,Rodriguez Je.,Como,12,5,7,12,5,7,25,28
6164,A,Pc,Vitinha O.,Genoa,12,12,0,12,11,1,27,24
7008,A,Pc,Gimenez,Milan,12,25,-13,12,25,-13,14,11
5918,A,A,Sulemana K.,Atalanta,11,9,2,11,9,2,11,11
7127,A,W;A,Addai,Como,11,7,4,11,7,4,13,16
5506,A,A,Ekuban,Genoa,11,2,9,11,2,9,11,11
6556,A,A,Noslin,Lazio,11,7,4,11,7,4,13,13
6001,A,W;A,Banda,Lecce,11,5,6,11,5,6,12,14
5336,A,Pc,Nzola,Pisa,11,12,-1,11,12,-1,12,10
6822,A,A,Ekhator,Genoa,10,1,9,10,1,9,11,11
7001,A,W;A,N'Dri,Lecce,10,5,5,10,5,5,10,12
6981,A,Pc,Vaz,Roma,10,10,0,10,10,0,20,20
6145,A,A,Ngonge,Torino,9,9,0,9,9,0,11,11
6314,A,Pc,Openda,Juventus,9,22,-13,9,22,-13,18,15
6643,A,Pc,Dallinga,Bologna,8,10,-2,8,10,-2,12,10
4359,A,Pc,Piccoli,Fiorentina,8,17,-9,8,17,-9,15,12
6667,A,A,Benedyczak,Parma,8,1,7,8,1,7,10,10
6836,A,Pc,Meister,Pisa,8,2,6,8,2,6,14,11
7249,A,Pc,Buksa,Udinese,8,9,-1,8,9,-1,12,10
441,A,Pc,Belotti,Cagliari,8,12,-4,7,11,-4,30,30
5496,A,A,Johnsen,Cremonese,7,7,0,7,7,0,8,8
2489,A,A,Pedro,Lazio,7,13,-6,7,13,-6,14,14
6630,A,Pc,Mosquera,Verona,7,6,1,7,6,1,12,10
6439,A,Pc,Cheddira,Lecce,7,4,3,7,4,3,10,10
7252,A,Pc,Stulic,Lecce,7,13,-6,7,13,-6,21,18
6380,A,W;A,Solomon,Fiorentina,7,7,0,8,8,0,15,17
7128,A,W;A,Kuhn,Como,6,14,-8,6,15,-9,11,14
2155,A,Pc,Cutrone,Parma,6,10,-4,6,10,-4,14,11
6827,A,A,Njie,Torino,6,1,5,6,1,5,4,4
479,A,Pc,Sanabria,Cremonese,6,7,-1,6,6,0,10,10
608,A,Pc,Zapata D.,Torino,6,20,-14,6,20,-14,14,11
6159,A,A,Sarr A.,Verona,6,8,-2,6,8,-2,9,9
6895,A,W;A,Dominguez B.,Bologna,5,9,-4,5,9,-4,15,17
5672,A,Pc,Dia,Lazio,5,20,-15,5,20,-15,12,10
785,A,Pc,Immobile,Bologna,4,19,-15,4,19,-15,15,12
6967,A,W;A,Diao,Como,4,17,-13,4,18,-14,14,17
6519,A,Pc,Camarda,Lecce,4,12,-8,4,12,-8,10,10
5297,A,A,Luvumbo,Cagliari,3,12,-9,3,12,-9,10,10
6207,A,W;A,Almqvist,Parma,3,4,-1,3,4,-1,10,13
7161,A,Pc,Bayo V.,Udinese,3,4,-1,3,4,-1,8,8
7183,A,A,Aboukhlal,Torino,3,9,-6,3,9,-6,9,9
313,A,Pc,Morata,Como,3,18,-15,3,18,-15,12,10
5471,A,Pc,Djuric,Cremonese,2,9,-7,1,8,-7,10,10
1842,A,A,Pierini,Sassuolo,2,5,-3,2,5,-3,8,8
7158,A,Pc,Moro L.,Sassuolo,2,1,1,2,1,1,1,1
7264,A,Pc,Ambrosino,Napoli,2,1,1,2,1,1,1,1
6555,A,Pc,Moumbagna,Cremonese,2,6,-4,2,6,-4,9,9
7272,A,Pc,Gueye,Udinese,2,1,1,2,1,1,1,1
7309,A,Pc,Isaac,Verona,2,1,1,2,1,1,1,1
247,A,Pc,Pavoletti,Cagliari,1,1,0,1,1,0,3,3
5515,A,A,Okereke,Cremonese,1,5,-4,1,5,-4,3,3
2012,A,Pc,Milik,Juventus,1,1,0,1,1,0,5,3
7171,A,A,Buffon L.,Pisa,1,1,0,1,1,0,1,1
7159,A,Pc,Skjellerup,Sassuolo,1,1,0,1,1,0,1,1
7213,A,Pc,Frigan,Parma,1,7,-6,1,6,-5,7,7
2762,A,A,Kouamè,Fiorentina,1,1,0,1,1,0,1,1
7262,A,A,Balentien,Milan,1,1,0,1,1,0,1,1
7277,A,Pc,Arena A.,Roma,1,1,0,1,1,0,1,1
7317,A,Pc,Trepy,Cagliari,1,1,0,1,1,0,1,1
7338,A,A,Albarracin,Cagliari,1,1,0,1,1,0,1,1
